evaluation,subset,domain_type,protocol,model,mean_balanced_accuracy,ci95_half_width,independent_unit,n_units
poster,chemical_only_275,substrate_family,leave_one_substrate_family_out,AE minimal,0.7866666666666666,0.3152180467788133,substrate_family_descriptive_not_independent_preparation,4
poster,chemical_only_275,substrate_family,leave_one_substrate_family_out,Classical,0.82,0.2952550025636745,substrate_family_descriptive_not_independent_preparation,4
poster,chemical_only_275,substrate_family,leave_one_substrate_family_out,DAE arPLS,0.9144444444444444,0.1728812163026697,substrate_family_descriptive_not_independent_preparation,4
poster,chemical_only_275,substrate_family,leave_one_substrate_family_out,DAE minimal,0.8188888888888889,0.3633425500555371,substrate_family_descriptive_not_independent_preparation,4
poster,chemical_only_275,substrate_family,leave_one_substrate_family_out,Historical Siamese,0.9283333333333332,0.1334478832899738,substrate_family_descriptive_not_independent_preparation,4
poster,chemical_only_275,substrate_family,leave_one_substrate_family_out,Siamese,0.8577777777777778,0.2417652620942421,substrate_family_descriptive_not_independent_preparation,4
domain_transfer,quality_pass,instrument,domain_and_sample,AE arPLS,0.5489232172148839,0.2094500155402743,heldout_domain,10
domain_transfer,quality_pass,instrument,domain_and_sample,Classical,0.5950678164428165,0.2163777006643361,heldout_domain,10
domain_transfer,quality_pass,instrument,domain_and_sample,DAE arPLS,0.5434827333160667,0.20589369028801,heldout_domain,10
domain_transfer,quality_pass,instrument,domain_and_sample,Siamese,0.5804154040404039,0.1656379498775329,heldout_domain,10
domain_transfer,quality_pass,sensor_family,domain_and_sample,AE arPLS,0.4003001628001628,2.0487268350813217,heldout_domain,2
domain_transfer,quality_pass,sensor_family,domain_and_sample,Classical,0.4474257224257224,2.2318601176290573,heldout_domain,2
domain_transfer,quality_pass,sensor_family,domain_and_sample,DAE arPLS,0.3947344322344322,2.2171861835879927,heldout_domain,2
domain_transfer,quality_pass,sensor_family,domain_and_sample,Siamese,0.5069512277845611,3.13709747886131,heldout_domain,2
domain_transfer,quality_pass,instrument,domain_only,AE arPLS,0.6101148521748935,0.1534799372603313,heldout_domain,10
domain_transfer,quality_pass,instrument,domain_only,Classical,0.647473053770003,0.171443098309369,heldout_domain,10
domain_transfer,quality_pass,instrument,domain_only,DAE arPLS,0.5968748288849678,0.1563861763506426,heldout_domain,10
domain_transfer,quality_pass,instrument,domain_only,Siamese,0.6160032507457,0.0835611610130874,heldout_domain,10
domain_transfer,quality_pass,sensor_family,domain_only,AE arPLS,0.3387336801172005,0.2489132964776508,heldout_domain,4
domain_transfer,quality_pass,sensor_family,domain_only,Classical,0.3640449090812858,0.2030616825595517,heldout_domain,4
domain_transfer,quality_pass,sensor_family,domain_only,DAE arPLS,0.3326017506813696,0.2211751010193639,heldout_domain,4
domain_transfer,quality_pass,sensor_family,domain_only,Siamese,0.4662532016023302,0.549907435390483,heldout_domain,4
domain_transfer,strict_core,instrument,domain_and_sample,AE arPLS,0.5616890443920086,0.193240869705222,heldout_domain,10
domain_transfer,strict_core,instrument,domain_and_sample,Classical,0.5637971588890374,0.2175451677653102,heldout_domain,10
domain_transfer,strict_core,instrument,domain_and_sample,DAE arPLS,0.5340459666087314,0.2150042039126406,heldout_domain,10
domain_transfer,strict_core,instrument,domain_and_sample,Siamese,0.6009192859077916,0.1606114882430356,heldout_domain,10
domain_transfer,strict_core,sensor_family,domain_and_sample,AE arPLS,0.6072738445287464,0.9514469188548696,heldout_domain,3
domain_transfer,strict_core,sensor_family,domain_and_sample,Classical,0.6046349619879031,0.93279298279092,heldout_domain,3
domain_transfer,strict_core,sensor_family,domain_and_sample,DAE arPLS,0.5615436306612777,0.9869840404511756,heldout_domain,3
domain_transfer,strict_core,sensor_family,domain_and_sample,Siamese,0.3498349508153429,1.0709805471550269,heldout_domain,3
domain_transfer,strict_core,instrument,domain_only,AE arPLS,0.6228204317711107,0.1301217587295318,heldout_domain,10
domain_transfer,strict_core,instrument,domain_only,Classical,0.6136306529760848,0.1500556491544701,heldout_domain,10
domain_transfer,strict_core,instrument,domain_only,DAE arPLS,0.5756334994655015,0.1438667792380274,heldout_domain,10
domain_transfer,strict_core,instrument,domain_only,Siamese,0.6275337316657915,0.0881405890377712,heldout_domain,10
domain_transfer,strict_core,sensor_family,domain_only,AE arPLS,0.4521489220202931,0.3586067496136013,heldout_domain,4
domain_transfer,strict_core,sensor_family,domain_only,Classical,0.4070945096016924,0.2305291280456773,heldout_domain,4
domain_transfer,strict_core,sensor_family,domain_only,DAE arPLS,0.4250814993495676,0.226653924884832,heldout_domain,4
domain_transfer,strict_core,sensor_family,domain_only,Siamese,0.4447354667805098,0.4471530558744682,heldout_domain,4
outer,field_quality_stress,,grouped_outer_fold,VAE,0.34248677248677245,0.11064678472719403,outer_fold,5
outer,quality_pass,,grouped_outer_fold,VAE,0.7283527826344106,0.0677621082830837,outer_fold,5
outer,strict_core,,grouped_outer_fold,VAE,0.7060808656189499,0.06955171712197149,outer_fold,5
poster,chemical_only_275,substrate_family,leave_one_substrate_family_out,VAE,0.9272222222222223,0.1379022286778011,substrate_family_descriptive_not_independent_preparation,4
domain_transfer,quality_pass,instrument,domain_and_sample,VAE,0.5491126728210061,0.20950381497812853,heldout_domain,10
domain_transfer,quality_pass,sensor_family,domain_and_sample,VAE,0.3818070818070818,2.1208036476618806,heldout_domain,2
domain_transfer,quality_pass,instrument,domain_only,VAE,0.6093596195333194,0.15559719927662627,heldout_domain,10
domain_transfer,quality_pass,sensor_family,domain_only,VAE,0.34958473785767324,0.2891863764718373,heldout_domain,4
domain_transfer,strict_core,instrument,domain_and_sample,VAE,0.5574903917025816,0.2085745401118295,heldout_domain,10
domain_transfer,strict_core,sensor_family,domain_and_sample,VAE,0.6239116819999172,0.9837200744793875,heldout_domain,3
domain_transfer,strict_core,instrument,domain_only,VAE,0.6057289226176831,0.1332046443915581,heldout_domain,10
domain_transfer,strict_core,sensor_family,domain_only,VAE,0.38503632358679324,0.24415948767461698,heldout_domain,4
