held_unknown,outer_fold,calibration_fold,observation_uid,master_sample_id,target_analyte,grouped_sample_fold_5,include_sers_qc_pass,field_quality_stress,instrument,sensor_family,partition
4_ANPP,0,1,session1_row10,1.0,benzyl_fentanyl,1,True,False,Mira-3,pSERS_Metrohm_silver,calibration_known
4_ANPP,0,1,session1_row12,1.0,benzyl_fentanyl,1,True,False,Agilent-3,pSERS_Metrohm_silver,calibration_known
4_ANPP,0,1,session1_row13,2.0,4_ANPP,3,True,False,Mira-3,pSERS_Metrohm_silver,locked_held_unknown
4_ANPP,0,1,session1_row14,4.0,benzyl_fentanyl,2,True,False,Mira-3,pSERS_Metrohm_silver,train_known
4_ANPP,0,1,session1_row15,1.0,benzyl_fentanyl,1,True,False,Agilent-3,pSERS_Metrohm_silver,calibration_known
4_ANPP,0,1,session1_row16,3.0,blank,2,True,False,Mira-3,pSERS_Metrohm_silver,train_known
4_ANPP,0,1,session1_row17,3.0,blank,2,True,False,Mira-3,pSERS_Metrohm_silver,train_known
4_ANPP,0,1,session1_row18,2.0,4_ANPP,3,True,False,Agilent-3,pSERS_Metrohm_silver,locked_held_unknown
4_ANPP,0,1,session1_row19,2.0,4_ANPP,3,True,False,Agilent-3,pSERS_Metrohm_silver,locked_held_unknown
4_ANPP,0,1,session1_row20,3.0,blank,2,True,False,Agilent-3,pSERS_Metrohm_silver,train_known
4_ANPP,0,1,session1_row21,4.0,benzyl_fentanyl,2,True,False,Agilent-3,pSERS_Metrohm_silver,train_known
4_ANPP,0,1,session1_row22,1.0,benzyl_fentanyl,1,True,False,Agilent-3,pSERS_Metrohm_silver,calibration_known
4_ANPP,0,1,session1_row26,5.0,benzyl_fentanyl,1,True,False,Mira-3,pSERS_Metrohm_silver,calibration_known
4_ANPP,0,1,session1_row29,6.0,4_ANPP,1,True,False,Agilent-3,pSERS_Metrohm_silver,locked_held_unknown
4_ANPP,0,1,session1_row30,5.0,benzyl_fentanyl,1,True,False,Agilent-3,pSERS_Metrohm_silver,calibration_known
4_ANPP,0,1,session1_row31,8.0,blank,0,True,False,Mira-3,pSERS_Metrohm_silver,excluded_outer_known_test
4_ANPP,0,1,session1_row33,7.0,4_ANPP,0,True,False,Mira-3,pSERS_Metrohm_silver,locked_held_unknown
4_ANPP,0,1,session1_row35,6.0,4_ANPP,1,True,False,Mira-3,pSERS_Metrohm_silver,locked_held_unknown
4_ANPP,0,1,session1_row36,8.0,blank,0,True,False,Agilent-3,pSERS_Metrohm_silver,excluded_outer_known_test
4_ANPP,0,1,session1_row37,7.0,4_ANPP,0,True,False,Agilent-3,pSERS_Metrohm_silver,locked_held_unknown
4_ANPP,0,1,session1_row38,7.0,4_ANPP,0,True,False,Agilent-3,pSERS_Metrohm_silver,locked_held_unknown
4_ANPP,0,1,session1_row41,6.0,4_ANPP,1,True,False,Mira-3,pSERS_Metrohm_silver,locked_held_unknown
4_ANPP,0,1,session1_row42,6.0,4_ANPP,1,True,False,Agilent-3,pSERS_Metrohm_silver,locked_held_unknown
4_ANPP,0,1,session1_row46,9.0,blank,2,False,True,Mira-3,pSERS_Metrohm_silver,locked_stress
4_ANPP,0,1,session1_row48,9.0,blank,2,True,False,Mira-3,pSERS_Metrohm_silver,train_known
4_ANPP,0,1,session1_row50,11.0,benzyl_fentanyl,0,True,False,Agilent-3,pSERS_Metrohm_silver,excluded_outer_known_test
4_ANPP,0,1,session1_row51,12.0,blank,1,True,False,Agilent-3,pSERS_Metrohm_silver,calibration_known
4_ANPP,0,1,session1_row52,10.0,blank,4,True,False,Mira-3,pSERS_Metrohm_silver,train_known
4_ANPP,0,1,session1_row54,11.0,benzyl_fentanyl,0,True,False,Mira-3,pSERS_Metrohm_silver,excluded_outer_known_test
4_ANPP,0,1,session1_row56,12.0,blank,1,False,True,Pendar-2,pSERS_Metrohm_silver,locked_stress
4_ANPP,0,1,session1_row58,12.0,blank,1,False,True,Pendar-2,pSERS_Metrohm_silver,locked_stress
4_ANPP,0,1,session1_row60,10.0,blank,4,False,True,Pendar-2,pSERS_Metrohm_silver,locked_stress
4_ANPP,0,1,session1_row63,9.0,blank,2,True,False,Pendar-2,pSERS_Metrohm_silver,train_known
4_ANPP,0,1,session1_row64,11.0,benzyl_fentanyl,0,True,False,Mira-3,pSERS_Metrohm_silver,excluded_outer_known_test
4_ANPP,0,1,session1_row65,11.0,benzyl_fentanyl,0,True,False,Pendar-2,pSERS_Metrohm_silver,excluded_outer_known_test
4_ANPP,0,1,session1_row67,12.0,blank,1,True,False,Pendar-2,pSERS_Metrohm_silver,calibration_known
4_ANPP,0,1,session1_row72,28.0,acetaminophen,2,False,True,Pendar-3,pSERS_Metrohm_silver,locked_stress
4_ANPP,0,1,session1_row74,28.0,acetaminophen,2,True,False,Mira-2,pSERS_Metrohm_silver,train_known
4_ANPP,0,1,session1_row75,28.0,acetaminophen,2,True,False,RMX-2,pSERS_Metrohm_silver,train_known
4_ANPP,0,1,session1_row76,28.0,acetaminophen,2,True,False,RMX-2,pSERS_Metrohm_silver,train_known
4_ANPP,0,1,session1_row77,28.0,acetaminophen,2,True,False,RMX-2,pSERS_Metrohm_silver,train_known
