candidate_order,candidate_id,representation,model_family,parameters_json,subset,outer_fold,inner_validation_fold,seed,n_train,n_validation,n_train_groups,n_validation_groups,status,error,n_test,n_supported,n_unsupported,balanced_accuracy,macro_f1,accuracy,negative_log_likelihood,brier_multiclass,expected_calibration_error_10
0,arpls_minmax__random_forest__5868a78bb4,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",quality_pass,2,3,117373038,304,101,42,12,pass,,101,101,0,0.6790712211764843,0.6688521396167574,0.7326732673267327,0.8528719821424158,0.3967636963696958,0.10138613861461354
1,arpls_minmax__random_forest__be46512902,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",quality_pass,2,3,1275604499,304,101,42,12,pass,,101,101,0,0.6118051539104171,0.5992670221241649,0.6732673267326733,0.8895941159782292,0.4128765676568541,0.09785478547920307
2,arpls_minmax__random_forest__c12c070c12,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",quality_pass,2,3,1051581285,304,101,42,12,pass,,101,101,0,0.6476859397912029,0.6353771047888694,0.7029702970297029,0.8868859987156082,0.4086123051990808,0.12241597437031713
3,arpls_minmax__random_forest__d66d6f3f62,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",quality_pass,2,3,1259540281,304,101,42,12,pass,,101,101,0,0.6545401966454597,0.6483163659634247,0.7029702970297029,0.9087390940957609,0.4213194005595565,0.11658824793814353
4,arpls_minmax__random_forest__7d1eec8702,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",quality_pass,2,3,2042369452,304,101,42,12,pass,,101,101,0,0.6516541937594569,0.6404894591912847,0.7029702970297029,0.9016948512327778,0.4170828307349912,0.12017909877053264
5,arpls_minmax__random_forest__262ae29fb1,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",quality_pass,2,3,1593219937,304,101,42,12,pass,,101,101,0,0.613775405880669,0.6026020973499965,0.6732673267326733,0.8969306284172209,0.4205641313063951,0.11077397777060374
6,arpls_minmax__random_forest__1b62c926f1,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",quality_pass,2,3,1691600015,304,101,42,12,pass,,101,101,0,0.6401101822154454,0.6317939837390637,0.7029702970297029,0.8909776747678483,0.40874342861483004,0.12088118032516364
7,arpls_minmax__random_forest__f5b750ad51,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",quality_pass,2,3,2141508627,304,101,42,12,pass,,101,101,0,0.6830394751447384,0.6764859623766304,0.7326732673267327,0.8890488615091974,0.4055003544521669,0.11213009406477277
8,arpls_minmax__random_forest__03e2055c66,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",quality_pass,2,3,1801924792,304,101,42,12,pass,,101,101,0,0.6541794462847095,0.6440912753663941,0.7128712871287128,0.8596406265523698,0.4029606527430264,0.1079213083083798
9,arpls_minmax__random_forest__ce99612d47,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",quality_pass,2,3,2013437336,304,101,42,12,pass,,101,101,0,0.6610337031389663,0.6558799135269723,0.7128712871287128,0.8854934080340507,0.41176568715934236,0.10631789022340278
10,arpls_minmax__random_forest__414685bc7e,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",quality_pass,2,3,348550633,304,101,42,12,pass,,101,101,0,0.6386671807724439,0.6294443313196078,0.693069306930693,0.9151621285861792,0.42351348522600124,0.11909741782955278
11,arpls_minmax__random_forest__ba1024e1bd,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",quality_pass,2,3,989178409,304,101,42,12,pass,,101,101,0,0.6450163871216502,0.6395819631113749,0.693069306930693,0.9079310027782534,0.4208936215739828,0.1118216227455518
12,arpls_minmax__random_forest__5a9b8650f2,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 1}",quality_pass,2,3,435259764,304,101,42,12,pass,,101,101,0,0.613775405880669,0.6021361697832285,0.6732673267326733,0.8859156864719676,0.41233003300337373,0.068283828382707
13,arpls_minmax__random_forest__83f0bbfd71,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 1}",quality_pass,2,3,74864992,304,101,42,12,pass,,101,101,0,0.6794319715372347,0.675869020280785,0.7227722772277227,0.9100768042493469,0.417929812981405,0.1234323432352108
14,arpls_minmax__random_forest__3a58587681,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 2}",quality_pass,2,3,1005034404,304,101,42,12,pass,,101,101,0,0.6256801677854309,0.6176012102327891,0.6831683168316832,0.9026802628382175,0.41054588915108264,0.09137204381194396
