candidate_order,candidate_id,representation,model_family,parameters_json,subset,outer_fold,inner_validation_fold,seed,n_train,n_validation,n_train_groups,n_validation_groups,status,error,n_test,n_supported,n_unsupported,balanced_accuracy,macro_f1,accuracy,negative_log_likelihood,brier_multiclass,expected_calibration_error_10
0,arpls_minmax__random_forest__5868a78bb4,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",quality_pass,0,3,1503032788,296,101,43,12,pass,,101,101,0,0.6530971952024583,0.6453121635730331,0.7128712871287128,0.9157678565351162,0.41590143014302705,0.1207590759074702
1,arpls_minmax__random_forest__be46512902,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",quality_pass,0,3,663823165,296,101,43,12,pass,,101,101,0,0.6530971952024583,0.6445225827834523,0.7128712871287128,0.9156388475004885,0.41600902090207387,0.11198019801983049
2,arpls_minmax__random_forest__c12c070c12,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",quality_pass,0,3,1800614675,296,101,43,12,pass,,101,101,0,0.6401101822154454,0.6313066449908554,0.7029702970297029,0.9240088114374743,0.41937434553603753,0.11880756659701376
3,arpls_minmax__random_forest__d66d6f3f62,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",quality_pass,0,3,1725811936,296,101,43,12,pass,,101,101,0,0.667887959993223,0.6672157227044445,0.7227722772277227,0.9151930090419853,0.4147914921832047,0.13824093961990716
4,arpls_minmax__random_forest__7d1eec8702,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",quality_pass,0,3,1640056427,296,101,43,12,pass,,101,101,0,0.6440784361836993,0.6395365681079966,0.7029702970297029,0.9335513204764864,0.4261748727533673,0.16902758394678097
5,arpls_minmax__random_forest__262ae29fb1,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",quality_pass,0,3,1207518286,296,101,43,12,pass,,101,101,0,0.6440784361836993,0.6436142179767216,0.7029702970297029,0.9387608315970327,0.4311784521373001,0.1598469182656768
6,arpls_minmax__random_forest__1b62c926f1,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",quality_pass,0,3,1907070559,296,101,43,12,pass,,101,101,0,0.6302034223086855,0.6179951782993914,0.693069306930693,0.9392812023538133,0.4145004732320859,0.14116514050424916
7,arpls_minmax__random_forest__f5b750ad51,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",quality_pass,0,3,55234530,296,101,43,12,pass,,101,101,0,0.6476289792079265,0.6377059121420023,0.7128712871287128,0.9318130747414061,0.42287464265496266,0.14406743522985302
8,arpls_minmax__random_forest__03e2055c66,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",quality_pass,0,3,1807927940,296,101,43,12,pass,,101,101,0,0.6401101822154454,0.6310906447748553,0.7029702970297029,0.924422173018803,0.4201006840841765,0.1347618342762858
9,arpls_minmax__random_forest__ce99612d47,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",quality_pass,0,3,15582833,296,101,43,12,pass,,101,101,0,0.6440784361836993,0.6392878947437801,0.7029702970297029,0.9548173969414627,0.43121549989515573,0.14455830745514012
