outer_fold,training_scenario,scenario,test_subset,representation,configuration,run_seed,real_pair_count,same_master_invariant,different_instrument_invariant,same_target_invariant,source_partner_mse,swap_source_mse,swap_partner_mse,standard_reconstruction_source_mse,source_partner_median_correlation,swap_source_median_correlation,swap_partner_median_correlation,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,artifact
0,nato_outer_o0__train_quality_pass,nato_outer_o0__train_quality_pass__test_field_quality_stress,field_quality_stress,arpls_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,2000788738,0,True,True,True,,,,,,,,,,,,,,,,,swaps/locked_outer__nato_outer_o0__train_quality_pass__test_field_quality_stress__arpls_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
0,nato_outer_o0__train_quality_pass,nato_outer_o0__train_quality_pass__test_field_quality_stress,field_quality_stress,minimal_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,567672599,0,True,True,True,,,,,,,,,,,,,,,,,swaps/locked_outer__nato_outer_o0__train_quality_pass__test_field_quality_stress__minimal_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
1,nato_outer_o1__train_quality_pass,nato_outer_o1__train_quality_pass__test_field_quality_stress,field_quality_stress,arpls_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,1085417961,9,True,True,True,0.041322819888591766,0.020754093304276466,0.019785065203905106,0.014258166775107384,0.15938113629817963,0.4296005964279175,0.3216567635536194,0.019785064372984454,0.009892532186492227,0.11225571728536066,0.32165680861457974,0.04984991755473496,0.17221135029354206,2.0,2.5760676881358204,0.15078739821910858,swaps/locked_outer__nato_outer_o1__train_quality_pass__test_field_quality_stress__arpls_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
1,nato_outer_o1__train_quality_pass,nato_outer_o1__train_quality_pass__test_field_quality_stress,field_quality_stress,minimal_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,221457788,9,True,True,True,0.04568133130669594,0.022048819810152054,0.0293649323284626,0.018864387646317482,0.24582111835479736,0.5019887089729309,0.4021932780742645,0.029364932084363575,0.014682466042181787,0.15532213047533844,0.40219322431987353,0.044483688038044845,0.1906779661016949,2.0,3.4156829599589553,0.10053423047065735,swaps/locked_outer__nato_outer_o1__train_quality_pass__test_field_quality_stress__minimal_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
2,nato_outer_o2__train_quality_pass,nato_outer_o2__train_quality_pass__test_field_quality_stress,field_quality_stress,arpls_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,2084487435,14,True,True,True,0.04757903143763542,0.020097246393561363,0.030120233073830605,0.018476452678442,0.15561237931251526,0.46298325061798096,0.36774903535842896,0.030120234424289915,0.015060117212144957,0.11320287150465799,0.3677490270895074,0.04007656276803666,0.2192,2.75,1.665053948032738,0.13407107442617416,swaps/locked_outer__nato_outer_o2__train_quality_pass__test_field_quality_stress__arpls_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
2,nato_outer_o2__train_quality_pass,nato_outer_o2__train_quality_pass__test_field_quality_stress,field_quality_stress,minimal_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,512171905,14,True,True,True,0.07365922629833221,0.03474932536482811,0.04097049683332443,0.01964413747191429,0.17464381456375122,0.3115639090538025,0.43307217955589294,0.04097049776366357,0.020485248881831786,0.1362584720077487,0.43307221818468045,0.04149570639997976,0.1765834932821497,2.0,2.271187353265977,0.17388319969177246,swaps/locked_outer__nato_outer_o2__train_quality_pass__test_field_quality_stress__minimal_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
3,nato_outer_o3__train_quality_pass,nato_outer_o3__train_quality_pass__test_field_quality_stress,field_quality_stress,arpls_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,1113612604,12,True,True,True,0.08106108754873276,0.03096841461956501,0.03943675011396408,0.015046614222228527,0.08193714916706085,0.3129197955131531,0.29888373613357544,0.039436750366307095,0.019718375183153548,0.17148695833548466,0.2988837268010758,0.032655468841576725,0.20454545454545456,2.0,1.9510988465504204,0.12000654451549053,swaps/locked_outer__nato_outer_o3__train_quality_pass__test_field_quality_stress__arpls_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
3,nato_outer_o3__train_quality_pass,nato_outer_o3__train_quality_pass__test_field_quality_stress,field_quality_stress,minimal_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,1956209121,12,True,True,True,0.07941547781229019,0.051431797444820404,0.024798348546028137,0.017511270940303802,0.11384698748588562,0.24104338884353638,0.47630101442337036,0.024798349598524172,0.012399174799262086,0.12692251437592283,0.4763009745030685,0.031245115751393143,0.2,2.0,1.6711941379932802,0.1938104359433055,swaps/locked_outer__nato_outer_o3__train_quality_pass__test_field_quality_stress__minimal_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
4,nato_outer_o4__train_quality_pass,nato_outer_o4__train_quality_pass__test_field_quality_stress,field_quality_stress,arpls_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,1913597310,17,True,True,True,0.062307585030794144,0.04029404744505882,0.02234032191336155,0.021527158096432686,0.08490599691867828,0.1863240897655487,0.2375067174434662,0.022340320900410784,0.011170160450205392,0.10451445068641238,0.23750670832502768,0.04990932009488453,0.1787109375,2.0,2.3562896050991737,0.14874019473791122,swaps/locked_outer__nato_outer_o4__train_quality_pass__test_field_quality_stress__arpls_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
4,nato_outer_o4__train_quality_pass,nato_outer_o4__train_quality_pass__test_field_quality_stress,field_quality_stress,minimal_minmax,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,537973679,17,True,True,True,0.0837118998169899,0.047632988542318344,0.036663081496953964,0.02331371232867241,0.12232869118452072,0.33718743920326233,0.36327463388442993,0.036663082181186045,0.018331541090593022,0.14545795307078427,0.3632746222985477,0.05076794107088674,0.13203463203463203,2.0,3.5626886796166914,0.13069993443787098,swaps/locked_outer__nato_outer_o4__train_quality_pass__test_field_quality_stress__minimal_minmax__zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500__s1729.npz
