outer_fold,train_subset,test_subset,stage,scenario,training_scenario,model_family,configuration,representation,seed,n_train,n_test_partition,partition,balanced_accuracy_supported,macro_f1_supported,macro_f1_union,n_test,n_test_supported,n_test_unsupported,unsupported_classes,instrument_probe_increment,sensor_probe_increment,same_master_cross_domain_mean_distance,different_target_cross_domain_mean_distance,cross_domain_separation_margin,same_master_pair_count,different_target_pair_count,vae_kl_unnormalized_per_observation,vae_kl_normalized,vae_mean_kl_per_latent_dimension,vae_median_kl_per_latent_dimension,vae_max_kl_per_latent_dimension,vae_active_units_var_mu_gt_0_01,vae_dimensions_mean_kl_gt_0_01,vae_posterior_mean_absolute_mu,vae_posterior_mean_log_variance,vae_posterior_sample_reconstruction_variability,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,partition_cross_covariance_mean_square,partition_maximum_canonical_correlation
0,strict_core,strict_core,locked_outer,nato_outer_o0__train_strict_core__test_strict_core,nato_outer_o0__train_strict_core,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,480,118,chemical,0.7585714285714286,0.7541845421607914,0.7541845421607914,118,118,0,,0.6276061776061777,0.5256410256410258,0.7669307870023391,1.0402886763347683,0.2733578893324292,476,5281,11.644036800053506,0.008311232548218063,0.24258410000111466,0.0124848080074395,2.4215822507838918,13,29,0.2052941717136242,-0.515657155608384,,0.004550903104664694,0.002275451552332347,0.06273277119000432,0.9411660700740592,0.01768252595119697,0.5563725490196079,2.0,0.3017254682734105,0.04896643524989486,0.022815906924386956,0.9955307460123437
0,strict_core,strict_core,locked_outer,nato_outer_o0__train_strict_core__test_strict_core,nato_outer_o0__train_strict_core,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,480,118,nuisance,0.6776190476190477,0.692916867335472,0.692916867335472,118,118,0,,0.4901544401544402,0.40767879463531637,0.7813361959547556,1.024795840351312,0.24345964439655643,476,5281,4.278700228961973,0.0030540329971177533,0.26741876431012335,0.017164614638859953,1.5564291134893384,16,16,0.25851093767298183,-0.5684142417514398,,0.004550903104664694,0.002275451552332347,0.06273277119000432,0.9411660700740592,0.01768252595119697,0.5563725490196079,2.0,0.3017254682734105,0.04896643524989486,0.022815906924386956,0.9955307460123437
0,strict_core,strict_core,locked_outer,nato_outer_o0__train_strict_core__test_strict_core,nato_outer_o0__train_strict_core,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,480,118,union,0.7961904761904762,0.7905147358780177,0.7905147358780177,118,118,0,,0.6582368082368082,0.535897435897436,0.7674640278104975,1.035528920259333,0.26806489244883547,476,5281,15.922737029015476,0.011365265545335814,0.24879276607836684,0.012977342619148208,2.4215822507838918,29,45,0.2185983632034636,-0.528846427144148,,0.004550903104664694,0.002275451552332347,0.06273277119000432,0.9411660700740592,0.01768252595119697,0.5563725490196079,2.0,0.3017254682734105,0.04896643524989486,0.022815906924386956,0.9955307460123437
0,quality_pass,quality_pass,locked_outer,nato_outer_o0__train_quality_pass__test_quality_pass,nato_outer_o0__train_quality_pass,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,103,chemical,0.8057256235827664,0.7956341277769848,0.7956341277769848,103,103,0,,0.6560224089635853,0.5675094136632599,0.6816067876237811,1.0025183482961826,0.32091156067240145,363,3963,8.55421170729945,0.006105789940970343,0.17821274390207184,0.010614742453570022,1.9620947307697838,17,29,0.17952774597299292,-0.4028779203984334,,0.002941771235160324,0.001470885617580162,0.05741274564833333,0.9553978447338645,0.013238811368993382,0.5780998389694042,1.5,0.2299438466335394,0.05054093897342682,0.03447148176044584,0.9975862434289662
0,quality_pass,quality_pass,locked_outer,nato_outer_o0__train_quality_pass__test_quality_pass,nato_outer_o0__train_quality_pass,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,103,nuisance,0.6921768707482993,0.6516429638380858,0.6516429638380858,103,103,0,,0.5091036414565826,0.5021858483396946,0.9032114080817903,1.0427145179311283,0.139503109849338,363,3963,6.8304554008589635,0.004875414276130595,0.42690346255368516,0.019350472372595826,2.491878900494294,16,14,0.32432539403740096,-0.8235308021663089,,0.002941771235160324,0.001470885617580162,0.05741274564833333,0.9553978447338645,0.013238811368993382,0.5780998389694042,1.5,0.2299438466335394,0.05054093897342682,0.03447148176044584,0.9975862434289662
0,quality_pass,quality_pass,locked_outer,nato_outer_o0__train_quality_pass__test_quality_pass,nato_outer_o0__train_quality_pass,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,103,union,0.8000566893424036,0.7780528477733447,0.7780528477733447,103,103,0,,0.6952380952380952,0.5710059171597632,0.7563617155571615,1.0339220862872307,0.27756037073006923,363,3963,15.38466710815841,0.010981204217100936,0.2403854235649752,0.01270229168936955,2.491878900494294,33,43,0.21572715798909495,-0.5080411408404023,,0.002941771235160324,0.001470885617580162,0.05741274564833333,0.9553978447338645,0.013238811368993382,0.5780998389694042,1.5,0.2299438466335394,0.05054093897342682,0.03447148176044584,0.9975862434289662
0,quality_pass,field_quality_stress,locked_outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,nato_outer_o0__train_quality_pass,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,15,chemical,0.4583333333333333,0.3700854700854701,0.3700854700854701,15,15,0,,0.5416666666666667,0.5,,0.42773749965887803,,0,26,7.645936867314842,0.00545748527288711,0.15929035140239256,0.01989309323177664,1.708906533544192,18,35,0.1989210155670864,-0.41156240583319836,,0.01725628976379813,0.008628144881899065,0.10840246142367489,0.4468165270403143,0.04789552634826397,,3.0,1.930434749730868,0.1529889553785324,0.09759908527588179,0.9998032770934805
0,quality_pass,field_quality_stress,locked_outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,nato_outer_o0__train_quality_pass,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,15,nuisance,0.4166666666666667,0.24786324786324787,0.24786324786324787,15,15,0,,0.4722222222222223,0.5238095238095238,,0.48005886719777036,,0,26,6.059924652756043,0.004325428017670266,0.3787452907972526,0.022246331288285043,2.7288781221266047,12,15,0.3272517558648057,-0.7864884399537307,,0.01725628976379813,0.008628144881899065,0.10840246142367489,0.4468165270403143,0.04789552634826397,,3.0,1.930434749730868,0.1529889553785324,0.09759908527588179,0.9998032770934805
0,quality_pass,field_quality_stress,locked_outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,nato_outer_o0__train_quality_pass,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,15,union,0.5833333333333334,0.47474747474747475,0.47474747474747475,15,15,0,,0.5416666666666667,0.5,,0.4513021271962386,,0,26,13.705861520070886,0.009782913290557377,0.2141540862511076,0.020418348763705248,2.7288781221266047,30,50,0.23100370064151624,-0.5052939143633315,,0.01725628976379813,0.008628144881899065,0.10840246142367489,0.4468165270403143,0.04789552634826397,,3.0,1.930434749730868,0.1529889553785324,0.09759908527588179,0.9998032770934805
0,strict_core,strict_core,locked_outer,nato_outer_o0__train_strict_core__test_strict_core,nato_outer_o0__train_strict_core,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,minimal_minmax,1729,480,118,chemical,0.7538095238095238,0.7376075512116925,0.7376075512116925,118,118,0,,0.6715572715572715,0.5174825174825175,0.8890610804327396,1.0387437151611991,0.14968263472845955,476,5281,11.846486920100894,0.008455736559672302,0.2468018108354353,0.014231081370925158,2.504906216136525,33,38,0.21621612645358806,-0.5477689571393736,,0.004808437042086531,0.0024042185210432655,0.05792021414081316,0.9796962049684015,0.016233485923506222,0.6928251121076233,2.0,0.3435452494924017,0.05892018345184624,0.01822928940489302,0.9925451486890443
0,strict_core,strict_core,locked_outer,nato_outer_o0__train_strict_core__test_strict_core,nato_outer_o0__train_strict_core,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,minimal_minmax,1729,480,118,nuisance,0.5714285714285714,0.5591871823913138,0.5591871823913138,118,118,0,,0.5666023166023166,0.35819060166886246,0.7965232791269526,1.0536922512689202,0.25716897214196754,476,5281,5.657717396696541,0.004038342181796247,0.35360733729353383,0.010644745408082038,1.988031102231687,8,9,0.27750022714901007,-0.6832747548108936,,0.004808437042086531,0.0024042185210432655,0.05792021414081316,0.9796962049684015,0.016233485923506222,0.6928251121076233,2.0,0.3435452494924017,0.05892018345184624,0.01822928940489302,0.9925451486890443
0,strict_core,strict_core,locked_outer,nato_outer_o0__train_strict_core__test_strict_core,nato_outer_o0__train_strict_core,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,minimal_minmax,1729,480,118,union,0.8080952380952381,0.7876936889356971,0.7876936889356971,118,118,0,,0.6911840411840412,0.5314685314685315,0.854496049405146,1.0486276213067698,0.19413157190162378,476,5281,17.504204316797438,0.01249407874146855,0.2735031924499599,0.013502189331807652,2.504906216136525,41,47,0.23153715162744357,-0.5816454065572535,,0.004808437042086531,0.0024042185210432655,0.05792021414081316,0.9796962049684015,0.016233485923506222,0.6928251121076233,2.0,0.3435452494924017,0.05892018345184624,0.01822928940489302,0.9925451486890443
0,quality_pass,quality_pass,locked_outer,nato_outer_o0__train_quality_pass__test_quality_pass,nato_outer_o0__train_quality_pass,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,minimal_minmax,1729,397,103,chemical,0.7427437641723357,0.725194622831532,0.725194622831532,103,103,0,,0.6430672268907562,0.5137362637362637,0.8253351042750124,1.040063251292137,0.21472814701712462,363,3963,9.427281045519166,0.006728965771248513,0.19640168844831596,0.011204577874742709,2.058748427003593,18,30,0.17450543569532734,-0.43114694582977775,,0.0029129143818155076,0.0014564571909077538,0.0488788210655188,0.9839799378286259,0.011270753111380725,0.7483870967741936,2.0,0.22460132277427253,0.04538940219208598,0.024404380837128804,0.9957392009127426
0,quality_pass,quality_pass,locked_outer,nato_outer_o0__train_quality_pass__test_quality_pass,nato_outer_o0__train_quality_pass,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,minimal_minmax,1729,397,103,nuisance,0.5643707482993197,0.5239541013540773,0.5239541013540773,103,103,0,,0.6301820728291316,0.4604455373686142,0.855237796122706,1.045271700555978,0.19003390443327195,363,3963,7.0036843171303085,0.0049990608973092855,0.4377302698206441,0.011187578527985357,2.2925574934479864,9,9,0.3038102045130446,-0.8151749131293489,,0.0029129143818155076,0.0014564571909077538,0.0488788210655188,0.9839799378286259,0.011270753111380725,0.7483870967741936,2.0,0.22460132277427253,0.04538940219208598,0.024404380837128804,0.9957392009127426
