artifact_id,scope,phase,title,producer_experiments,logical_path,format,privacy,schema_or_contract,completion_rule,retention
ART-P00-ENV,P,P00,Sanitized environment lock,P00,${ATLAS_ARTIFACT_ROOT}/p00/runs/{run_id}/environment_lock.json,json,private,p00-environment-v1,Required fields present and path scan clean,retain
ART-P00-INPUTS,P,P00,Authoritative input verification,P00,${ATLAS_ARTIFACT_ROOT}/p00/runs/{run_id}/input_verification.json,json,private,p00-input-verification-v1,Every declared input check passes,retain
ART-P00-STATE,P,P00,Protected scientific state,P00,${ATLAS_ARTIFACT_ROOT}/p00/runs/{run_id}/protected_state.json,json,private,p00-protected-state-v1,Canonical hash reproduces run ID,retain
ART-P00-DEVIATIONS,P,P00,Deviation log,P00,${ATLAS_ARTIFACT_ROOT}/p00/runs/{run_id}/deviations.csv,csv,private,deviations-v1,Schema exists even when zero rows,retain
ART-P00-RUNS,P,P00,Provisional expected run registry,P00,${ATLAS_ARTIFACT_ROOT}/p00/runs/{run_id}/expected_run_registry.csv,csv,private,p00-run-registry-v1,Every registered experiment represented,retain
ART-P00-FIT-COUNTS,P,P00,Fit count estimate,P00,${ATLAS_ARTIFACT_ROOT}/p00/runs/{run_id}/fit_count_by_phase_model_task.csv,csv,private,p00-fit-count-v1,Unresolved exact counts reason-coded,retain
ART-P00-GPU-HOURS,P,P00,GPU hour estimate,P00,${ATLAS_ARTIFACT_ROOT}/p00/runs/{run_id}/estimated_gpu_hours.csv,csv,private,p00-compute-estimate-v1,Unknown hours never fabricated,retain
ART-P00-CPU-HOURS,P,P00,CPU hour estimate,P00,${ATLAS_ARTIFACT_ROOT}/p00/runs/{run_id}/estimated_cpu_hours.csv,csv,private,p00-compute-estimate-v1,Unknown hours never fabricated,retain
ART-P00-DISK,P,P00,Disk estimate and capacity,P00,${ATLAS_ARTIFACT_ROOT}/p00/runs/{run_id}/estimated_disk_bytes.json,json,private,p00-disk-estimate-v1,Capacity captured and estimate status explicit,retain
ART-P00-SHARDS,P,P00,Provisional shard manifest,P00,${ATLAS_ARTIFACT_ROOT}/p00/runs/{run_id}/shard_manifest.csv,csv,private,p00-shard-manifest-v1,No shard authorized before P02,retain
ART-P00-REPORT,P,P00,P00 validation report,P00,${ATLAS_ARTIFACT_ROOT}/p00/runs/{run_id}/P00_VALIDATION_REPORT.json,json,private,p00-validation-report-v1,Status pass before P01 authorization,retain
ART-P00-HASHES,P,P00,P00 artifact hash manifest,P00,${ATLAS_ARTIFACT_ROOT}/p00/runs/{run_id}/P00_ARTIFACT_HASHES.json,json,private,p00-artifact-hashes-v1,Every run artifact except manifest hashed,retain
ART-P01-REPRESENTATIONS,P,P01,Frozen manifests and representation bundles,EXP-P01-001,${ATLAS_ARTIFACT_ROOT}/p01/runs/{run_id}/,mixed,private,p01_governance_contract.json,All P01 invariants and artifact hashes pass and identical restart verifies,retain
ART-P02-MASTER-SPLITS,P,P02,Master-grouped outer split registry,EXP-P02-001,${ATLAS_ARTIFACT_ROOT}/p02/runs/<run_id>/master_split_registry.csv,csv,private,split_contract.json,Every master appears once per repeat,retain
ART-P02-T3-PARTITIONS,P,P02,T3 domain partition registry,EXP-P02-002,${ATLAS_ARTIFACT_ROOT}/p02/runs/<run_id>/t3_partition_registry.csv,csv,private,split_contract.json,Thirteen primary domains reconstructed without leakage,retain
ART-P02-PP-ROLES,S,P02,Preprocessing policy support and access registry,EXP-P02-003,${ATLAS_ARTIFACT_ROOT}/p02/runs/<run_id>/preprocessing_policy_roles.csv,csv,private,preprocessing_policy_contract.json,Every outer domain has family support QC role and fallback state resolved without outcomes,retain
ART-P02-TARGET-ACCESS,S,P02,Target adaptation calibration and evaluation master roles,EXP-P02-002,${ATLAS_ARTIFACT_ROOT}/p02/runs/<run_id>/target_access_assignment_registry.csv,csv,private,p02_governance_contract.json,Every supported and unsupported target-access draw is reconstructable and evaluation-disjoint,retain
ART-P02-OPEN-ROLES,S,P02,Held-chemical source and evaluation roles,EXP-P02-002,${ATLAS_ARTIFACT_ROOT}/p02/runs/<run_id>/open_set_partition_registry.csv,csv,private,split_contract.json,Held chemicals are absent from every development role,retain
ART-P02-VALIDATION,P,P02,P02 protected hashes rebuild and leakage evidence,EXP-P02-001|EXP-P02-002|EXP-P02-003,${ATLAS_ARTIFACT_ROOT}/p02/runs/<run_id>/P02_VALIDATION_REPORT.json,json,private,p02_validation_schema.json,All fatal checks deterministic rebuilds and artifact rehashes pass,retain
