decision_id,title,decision,approver,status,must_precede,approval_date,outcome_access_timing
P13-D01,Minimum useful recoverability threshold tau,Require the lower 95% confidence bound for held balanced accuracy to be at least 0.60,project owner,locked,Any P13 predictive outcome calculation,2026-09-04,Frozen after P03 outcomes and before P13 outcomes
P13-D02,Maximum acceptable source-to-held loss delta,Require the upper 95% confidence bound for source minus held balanced accuracy to be at most 0.10,project owner,locked,Any P13 predictive outcome calculation,2026-09-04,Frozen after P03 outcomes and before P13 outcomes
P13-D03,Confirmatory support,Require at least 3 held masters and 3 training masters per class in every outer split plus at least 2 source instruments per class and 3 paired held/source masters per class,project owner,locked,Any P13 predictive fit,2026-09-04,Metadata only
P13-D04,Exploratory support,Require at least 2 held masters and 2 training masters per class; source-instrument and paired limitations remain explicit but are not eligibility gates,project owner,locked,Any P13 predictive fit,2026-09-04,Metadata only
P13-D05,P03 incomplete endpoint handling,Retain all failures; use the common successfully evaluated endpoint estimate and a chance-performance sensitivity; prohibit a positive claim when that sensitivity reverses the result,project owner,locked,P13 compact-deep comparison,2026-09-04,Frozen after P03 outcomes and before P13 outcomes
P13-D06,Primary preprocessing,Use PP-U-MIN as primary with universal Savitzky-Golay and arPLS paired sensitivities,project owner,locked,Any P13 predictive fit,2026-09-04,Frozen after P03 outcomes and before P13 outcomes
P13-D07,Evaluation domain and class-support cell,Define the evaluation domain as station by substrate family by held instrument and each class-support cell as that domain by analyte,project owner,locked,Any P13 support or outcome calculation,2026-09-04,Metadata only
P13-D08,Independent and prediction units,Treat physical master as independent and average technical-repeat probabilities within each master-substrate-instrument view for the primary prediction,project owner,locked,Any P13 predictive outcome calculation,2026-09-04,Frozen after P03 outcomes and before P13 outcomes
P13-D09,Classical estimator roles,Use source-only C-SELECTED as primary; fixed RBF SVM as main sensitivity; PCA-LDA PLS-DA elastic-net logistic regression Random Forest and Extra Trees as secondary estimators,project owner,locked,Any P13 predictive fit,2026-09-04,Frozen after P03 outcomes and before P13 outcomes
P13-D10,Outer split reuse,Reuse the five repeated four-fold P02 physical-master splits with held-instrument exclusion layered outside them,project owner,locked,Any P13 predictive fit,2026-09-04,Metadata and prior design only
P13-D11,Interval method,Use a 95% physical-master-clustered hierarchical bootstrap with 10000 resamples; use BCa where stable and percentile intervals otherwise,project owner,locked,Any P13 interval calculation,2026-09-04,Frozen after P03 outcomes and before P13 outcomes
P13-D12,Multiplicity,Use a substrate-level intersection-union test for the portability claim and Holm correction for individual secondary cell claims,project owner,locked,Any P13 confirmatory inference,2026-09-04,Frozen after P03 outcomes and before P13 outcomes
P13-D13,Substrate granularity,Use normalized substrate family for primary claims and retain substrate variants as exploratory strata,project owner,locked,Any P13 support or outcome calculation,2026-09-04,Metadata only
P13-D14,Crossover support,Classify analyte-specific two-substrate by two-instrument blocks with at least 3 masters as confirmatory 2 as exploratory and 1 as descriptive without interval claim,project owner,locked,Any P13 crossover outcome calculation,2026-09-04,Metadata only
P13-D15,Recorded field-log handling,Treat nonblank Y as recorded detection and blank N as specificity; exclude ambiguous M from definite binary analysis; retain missing as missing; report complete case plus best and worst missingness bounds,project owner,locked,Any P13 field-log outcome calculation,2026-09-04,Metadata only
P13-D16,Portability outcome rule,Require both held balanced-accuracy LCB95 at least 0.60 and source-minus-held loss UCB95 at most 0.10; assign one of five predeclared completion states,project owner,locked,Any P13 predictive outcome calculation,2026-09-04,Frozen after P03 outcomes and before P13 outcomes
