record_id,record_type,scope_id,completion_date,status,evidence_identity,evidence_sha256,notes
P13-COMP-001,no_fit_plan,P13-PLAN,2026-09-04,complete,P13PLAN-c0d28caeacb8088107fc09bc/P13_PLAN_VALIDATION_REPORT.json,9a5eeee75ce9a352535f88965e757d0831c945d368bf48448698cb1c44d005f5,Outcome-blind 960-context expansion passed with zero scientific fits
P13-COMP-002,execution,EXP-P13-C01--C04,2026-09-04,complete,P13-3d21aa17c7d6cd750ca9d286/P13_EXECUTION_VALIDATION_REPORT.json,d846ef57524ac45efc0df1b46f9e1a7a74373d39204d3ede1a164154c686d053,All 240 shards and 42360 fit records reconciled
P13-COMP-003,experiment,EXP-P13-C01,2026-09-04,complete,results/p13_portability/tables/domain_claims.csv,ca4e573fb6075e3e884e90a68e5b594d815d3bb6ba9873db7ac825428a51ae79,All 34 domains and 13 confirmatory primary claims retained
P13-COMP-004,experiment,EXP-P13-C02,2026-09-04,complete_limited_predictive_support,results/p13_portability/tables/crossover_effects.csv,455c37e7642c982d1f804c33883f563baa41751f89a87c60d0fda9821cb7ef08,All 238 declared procedure-block rows retained; 13 predictive rows complete
P13-COMP-005,experiment,EXP-P13-C03,2026-09-04,complete_secondary,results/p13_portability/tables/field_log_results.csv,efc210af3c98327045e51be6c5055aecf6bd8aea17e6d987ac3b96d93cd7fe6f,Thirty-five model and field-log endpoint rows with missingness bounds
P13-COMP-006,experiment,EXP-P13-C04,2026-09-04,complete_sensitivity,results/p13_portability/tables/preprocessing_sensitivity.csv,a37b1608c7556b8f69a5febf984fa2fa929d6011d615d92e86981fd25e0a7856,One hundred eighty-one common-view paired preprocessing comparisons
P13-COMP-007,figure,F45,2026-09-04,complete,results/p13_portability/semantic/F45_substrate_recoverability.csv,ca4e573fb6075e3e884e90a68e5b594d815d3bb6ba9873db7ac825428a51ae79,TikZ PDF PNG and standalone HTML passed semantic hash parity
P13-COMP-008,figure,F46,2026-09-04,complete,results/p13_portability/semantic/F46_substrate_instrument_crossover.csv,455c37e7642c982d1f804c33883f563baa41751f89a87c60d0fda9821cb7ef08,TikZ PDF PNG and standalone HTML passed semantic hash parity
P13-COMP-009,figure,F47,2026-09-04,complete,results/p13_portability/semantic/F47_recorded_detection_agreement.csv,efc210af3c98327045e51be6c5055aecf6bd8aea17e6d987ac3b96d93cd7fe6f,TikZ PDF PNG and standalone HTML passed semantic hash parity
P13-COMP-010,public_release,REL-P13-C01-C04-20260904,2026-09-04,approved_public,results/p13_portability/release_manifest.json,f3f656eda4b49c6ff20c3a289e457e8bc899a7e41b869b1182cf3da6249f9110,Aggregate-only release; row predictions and physical-master identifiers remain private
