experiment_id,scope,phase,task_id,information_regime,research_question_ids,preprocessing_policy_ids,preprocessing_information_regime,population,representation,model_id,model_or_method,selection_boundary,technical_seeds,primary_output,artifact_ids,completion_rule
EXP-P01-001,P,P01,ALL,none,ALL,ALL,not_applicable,primary and sensitivity tiers,native plus all registered,SYS-REP-BUILDER,Frozen representation builder,no model outcomes,none,representation registry and arrays,ART-P01-REPRESENTATIONS,All representation validations pass
EXP-P02-001,P,P02,T1-CWA|T1-PILLS|T1-SURF,closed set,ALL,ALL,not_applicable,primary,R_MIN_400_1800,SYS-OUTER-SPLIT,Five-repeat outer split builder,metadata support only,5 split seeds,master split registry,ART-P02-MASTER-SPLITS,Every master appears once per repeat
EXP-P02-002,P,P02,T3-ZS,zero-shot source-only,ALL,ALL,not_applicable,primary,R_MIN_400_1800,SYS-T3-PARTITION,T3 partition derivation,metadata support only,5 split seeds,T3 partition registry,ART-P02-T3-PARTITIONS,13 eligible and 4 exploratory domains reconstructed without leakage
EXP-P02-003,S,P02,T3-PP-FAM|T3-PP-QC,zero-shot source-only,RQ-S02|RQ-S03,PP-FAMILY-SRC|PP-QC-SRC,family_metadata_source_only|row_local_qc_source_only,primary,R_MIN_400_1800|R_SG_400_1800|R_ARPLS_400_1800,SYS-PP-SUPPORT,Preprocessing policy support and role derivation,metadata support and frozen rules only,5 split seeds,policy role and support registry,ART-P02-PP-ROLES,Every domain has support target-access and fallback states without outcome use
EXP-C00-T1,P,P03,T1-CWA|T1-PILLS|T1-SURF,closed set,RQ-P01,PP-U-MIN,fixed_source_only,primary,R_MIN_400_1800,C-PRIOR,Prior dummy,fixed,none,row and master predictions,ART-P03-PREDICTIONS|ART-P03-METRICS,Complete chance reference
EXP-C01-T1,P,P03,T1-CWA|T1-PILLS|T1-SURF,closed set,RQ-P01,PP-U-MIN,fixed_source_only,primary,R_MIN_400_1800,C-SPECTRAL-MATCH,Correlation and spectral-angle matching,inner master CV,none,row and master predictions,ART-P03-PREDICTIONS|ART-P03-METRICS,All folds complete
EXP-C02-T1,P,P03,T1-CWA|T1-PILLS|T1-SURF,closed set,RQ-P01,PP-U-MIN,fixed_source_only,primary,R_MIN_400_1800,C-NEAREST-CENTROID,Nearest centroid,inner master CV,none,row and master predictions,ART-P03-PREDICTIONS|ART-P03-METRICS,All folds complete
EXP-C03-T1,P,P03,T1-CWA|T1-PILLS|T1-SURF,closed set,RQ-P01,PP-U-MIN,fixed_source_only,primary,R_MIN_400_1800,C-PCA-LDA,PCA-LDA,inner master CV,none,row and master predictions,ART-P03-PREDICTIONS|ART-P03-METRICS,All folds complete
EXP-C04-T1,P,P03,T1-CWA|T1-PILLS|T1-SURF,closed set,RQ-P01,PP-U-MIN,fixed_source_only,primary,R_MIN_400_1800,C-PLS-DA,PLS-DA,inner master CV,none,row and master predictions,ART-P03-PREDICTIONS|ART-P03-METRICS,All folds complete
EXP-C05-T1,P,P03,T1-CWA|T1-PILLS|T1-SURF,closed set,RQ-P01,PP-U-MIN,fixed_source_only,primary,R_MIN_400_1800,C-LOGREG-EN,Elastic-net multinomial logistic,inner master CV,none,row and master predictions,ART-P03-PREDICTIONS|ART-P03-METRICS,All folds complete
EXP-C06-T1,P,P03,T1-CWA|T1-PILLS|T1-SURF,closed set,RQ-P01,PP-U-MIN,fixed_source_only,primary,R_MIN_400_1800,C-RBF-SVM,RBF SVM,inner master CV,none,row and master predictions,ART-P03-PREDICTIONS|ART-P03-METRICS,All folds complete
EXP-C07-T1,P,P03,T1-CWA|T1-PILLS|T1-SURF,closed set,RQ-P01,PP-U-MIN,fixed_source_only,primary,R_MIN_400_1800,C-RANDOM-FOREST,Random Forest,inner master CV,3 forest seeds,row and master predictions,ART-P03-PREDICTIONS|ART-P03-METRICS,Seed-averaged folds complete
EXP-C08-T1,P,P03,T1-CWA|T1-PILLS|T1-SURF,closed set,RQ-P01,PP-U-MIN,fixed_source_only,primary,R_MIN_400_1800,C-EXTRA-TREES,Extra Trees,inner master CV,3 forest seeds,row and master predictions,ART-P03-PREDICTIONS|ART-P03-METRICS,Seed-averaged folds complete
