scanname Scan020
timestamp 2024-03-06 18:49:41
ccdbias 992.042480
ccdgain 4.313516
sigmaread 9.885917
laserwavenum -0.020241
wavenumcorrection -0.873364
scancount 1
totalexposurems 75
singleexposurems 75
measurementstate Unknown
scanmode Auto
snr 41.696770 7.659045 6.514699
replacelist 0
peaks 6
677.178833 0.032538 0.000000 18.785532 0.000549
685.431030 0.010689 0.000000 7.147186 0.000246
708.242249 0.010244 0.000000 9.818107 0.000300
860.313049 0.009435 0.000000 0.250134 0.000004
1330.415161 0.051811 0.000000 0.348230 0.000058
1381.563965 0.064241 0.000000 0.536426 0.000052
result Mixture 2
10162 0.696209 1
		2,3-Dichloropropionic acid
6138 0.084665 1
		2,6-Dimethylaniline
spectrum 2048
-92.802261 0.025932
-90.198112 0.026063
-87.595734 0.038603
-84.995102 0.010718
-82.396225 0.009403
-79.799095 -0.003713
-77.203728 0.030497
-74.610107 0.037038
-72.018227 0.032046
-69.428101 0.011349
-66.839714 0.016805
-64.253082 0.022313
-61.668186 0.031086
-59.085030 0.007202
-56.503616 0.022969
-53.923935 0.023810
-51.345993 0.021366
-48.769787 0.021893
-46.195313 0.037739
-43.622566 0.015159
-41.051559 0.022724
-38.482273 0.030459
-35.914719 0.026715
-33.348885 0.000516
-30.784782 0.000356
-28.222397 0.000369
-25.661741 0.000495
-23.102806 0.000541
-20.545580 0.000754
-17.990072 0.001088
-15.436288 0.001766
-12.884217 0.003302
-10.333853 0.006357
-7.785200 0.014062
-5.238264 0.041179
-2.693038 0.077546
-0.149510 0.085808
2.392312 0.088533
4.932422 0.067700
7.470829 0.030752
10.007542 0.015404
12.542556 0.016310
15.075863 0.020810
17.607473 0.023508
20.137394 0.023507
22.665623 0.020410
25.192152 0.029441
27.716986 0.024154
30.240143 0.015220
32.761612 0.017644
35.281391 0.040309
37.799469 0.016696
40.315876 0.023864
42.830601 0.014434
45.343632 0.018451
47.854996 0.020746
50.364685 0.023170
52.872692 0.043008
55.379028 0.031853
57.883671 0.013876
60.386662 0.043208
62.887978 -0.011818
65.387611 0.016368
67.885590 0.036081
70.381897 0.034013
72.876549 0.028829
75.369522 0.046795
77.860825 0.010421
80.350479 0.006153
82.838486 0.015923
85.324799 0.024441
87.809479 0.027964
90.292503 0.014753
92.773872 0.015668
95.253578 0.000000
97.731636 0.003611
100.208046 0.003604
102.682823 0.052351
105.155914 0.012408
107.627380 0.055213
110.097206 0.020051
112.565384 0.000000
115.031937 0.018373
117.496819 0.016403
119.960075 -0.003839
122.421700 0.062959
124.881683 0.015752
127.340027 0.038842
129.796738 -0.009743
132.251831 0.012212
134.705276 0.044456
137.157089 0.066215
139.607285 -0.005588
142.055847 0.026715
144.502792 -0.007391
146.948105 0.033306
149.391815 0.027311
151.833878 0.009883
154.274323 0.005997
156.713150 0.004076
159.150391 0.010714
161.585968 0.004818
164.019943 0.011272
166.452332 0.010697
168.883087 0.010529
171.312225 0.010183
173.739777 0.010025
176.165710 0.008335
178.590012 0.009086
181.012741 0.009783
183.433868 0.008680
185.853378 0.009338
188.271301 0.009626
190.687607 0.009281
193.102325 0.009699
195.515442 0.009318
197.926971 0.009023
200.336899 0.009931
202.745224 0.009036
205.151978 0.009996
207.557114 0.010018
209.960663 0.010353
212.362656 0.009748
214.763031 0.009640
217.161819 0.009278
219.559082 0.009406
221.954681 0.009683
224.348770 0.009330
226.741226 0.009853
229.132111 0.009314
231.521454 0.009302
233.909195 0.009532
236.295364 0.009783
238.679947 0.009959
241.062973 0.009909
243.444458 0.009229
245.824326 0.009441
248.202621 0.009697
250.579391 0.010053
252.954559 0.009848
255.328171 0.009431
257.700226 0.009981
260.070740 0.009945
262.439667 0.010249
264.807037 0.010130
267.172852 0.010083
269.537140 0.010177
271.899841 0.009722
274.260986 0.010063
276.620605 0.010542
278.978638 0.010038
281.335144 0.009915
283.690063 0.010436
286.043457 0.010414
288.395386 0.010408
290.745667 0.010162
293.094391 0.010358
295.441681 0.010424
297.787354 0.010411
300.131531 0.010500
302.474091 0.011046
304.815186 0.010405
307.154724 0.011110
309.492737 0.010936
311.829224 0.010567
314.164154 0.011151
316.497559 0.011228
318.829437 0.011154
321.159790 0.011504
323.488586 0.011317
325.815887 0.011420
328.141663 0.011130
330.465912 0.011212
332.788666 0.011585
335.109894 0.010769
337.429565 0.011707
339.747711 0.011807
342.064362 0.011328
344.379486 0.011362
346.693115 0.011485
349.005280 0.010786
351.315857 0.010942
353.624939 0.010675
355.932526 0.011261
358.238586 0.011224
360.543152 0.011981
362.846252 0.010983
365.147736 0.011073
367.447815 0.010671
369.746368 0.010879
372.043396 0.010886
374.339020 0.010941
376.633026 0.011356
378.925598 0.011080
381.216675 0.011226
383.506226 0.011204
385.794312 0.011531
388.080841 0.011306
390.365997 0.011133
392.649597 0.010809
394.931702 0.011263
397.212280 0.011233
399.491455 0.010682
401.769135 0.010256
404.045319 0.010563
406.320007 0.010401
408.593231 0.010627
410.864929 0.010253
413.135162 0.009982
415.403992 0.010208
417.671234 0.009375
419.937073 0.009947
422.201477 0.009308
424.464294 0.009795
426.725739 0.009411
428.985657 0.009558
431.244110 0.010028
433.501160 0.010216
435.756683 0.009893
438.010803 0.009658
440.263367 0.009739
442.514526 0.009051
444.764252 0.009747
447.012421 0.009943
449.259186 0.009717
451.504517 0.009780
453.748322 0.009721
455.990753 0.010112
458.231689 0.009747
460.471130 0.009684
462.709167 0.009960
464.945801 0.009690
467.180969 0.009669
469.414581 0.009051
471.646881 0.008968
473.877655 0.009571
476.106934 0.008814
478.334930 0.009146
480.561371 0.008844
482.786346 0.009122
485.010040 0.008681
487.232117 0.009074
489.452759 0.009047
491.672119 0.009356
493.889923 0.009001
496.106293 0.009001
498.321350 0.009285
500.534851 0.008806
502.746887 0.009422
504.957642 0.009396
507.166840 0.008829
509.374756 0.009348
511.581085 0.009022
513.786011 0.009174
515.989685 0.009116
518.191772 0.009333
520.392395 0.009084
522.591797 0.009133
524.789612 0.008802
526.985962 0.008695
529.181091 0.008924
531.374695 0.008989
533.566772 0.008998
535.757629 0.009380
537.947021 0.008769
540.134888 0.008769
542.321594 0.009303
544.506653 0.009102
546.690308 0.009186
548.872803 0.008837
551.053711 0.009093
553.233154 0.008686
555.411316 0.009045
557.588013 0.009806
559.763245 0.008807
561.937256 0.008965
564.109802 0.009398
566.280823 0.009197
568.450684 0.009256
570.618958 0.009240
572.785828 0.008977
574.951416 0.008718
577.115540 0.008872
579.278442 0.009416
581.439758 0.009117
583.599731 0.009228
585.758362 0.009507
587.915527 0.008986
590.071289 0.009060
592.225830 0.008720
594.378784 0.008677
596.530457 0.009092
598.680847 0.009091
600.829712 0.008715
602.977234 0.009102
605.123413 0.009041
607.268188 0.009205
609.411560 0.008738
611.553772 0.008802
613.694275 0.009080
615.833496 0.009329
617.971558 0.009321
620.108093 0.009476
622.243225 0.009467
624.377075 0.008847
626.509521 0.008862
628.640625 0.009432
630.770386 0.008967
632.898682 0.009343
635.025635 0.009073
637.151367 0.008911
639.275574 0.009032
641.398499 0.008804
643.520142 0.008732
645.640259 0.009308
647.759216 0.009112
649.876648 0.009506
651.992859 0.009523
654.107666 0.009295
656.221069 0.009438
658.333069 0.008930
660.443970 0.009323
662.553284 0.009511
664.661377 0.008707
666.768066 0.008763
668.873413 0.010540
670.977356 0.012121
673.080139 0.021814
675.181396 0.030254
677.281433 0.033678
679.380127 0.031454
681.477356 0.019452
683.573303 0.011190
685.668091 0.008645
687.761353 0.008144
689.853271 0.007437
691.943970 0.002858
694.033264 -0.010543
696.121155 -0.016701
698.207886 -0.018945
700.293274 -0.011738
702.377136 0.001956
704.459900 0.007416
706.541321 0.008082
708.621216 0.009429
710.700012 0.009038
712.777283 0.008737
714.853516 0.008844
716.928223 0.008516
719.001587 0.008887
721.073730 0.008698
723.144531 0.008875
725.213928 0.008515
727.282166 0.009025
729.348938 0.008466
731.414490 0.008472
733.478699 0.008701
735.541626 0.009337
737.603149 0.009027
739.663574 0.008980
741.722473 0.008494
