configuration,representation,curriculum,run_seed,epoch,train_loss,validation_loss
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,1,0.07623158102220445,0.06733183215061823
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,2,0.05807847222132696,0.05489925816655159
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,3,0.04969084847955823,0.04621211091677348
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,4,0.04442135284853444,0.04348360995451609
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,5,0.041388039980238496,0.040182569374640785
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,6,0.0384041891637106,0.03828316951791445
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,7,0.036764941965113714,0.03751243775089582
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,8,0.03560258344930295,0.036269348859786985
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,9,0.03383254068916524,0.0342378631234169
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,10,0.031420252329755025,0.031809068347016974
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,11,0.02888397604144511,0.029305056234200797
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,12,0.026682816868921395,0.027356496701637905
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,13,0.024798096423334033,0.02522597126662731
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,14,0.022504080752545445,0.0228272944688797
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,15,0.020155845199636806,0.020963606362541517
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,16,0.018870593783886808,0.019420600682497024
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,17,0.017899090047523256,0.018613476182023685
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,18,0.016807780108334617,0.017577558507521948
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,19,0.01617760869604729,0.016834827760855358
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,20,0.015251463805415623,0.01640112642198801
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,21,0.014952410234349917,0.015821320501466594
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,22,0.014133696906124125,0.015642618822554747
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,23,0.014438341833506594,0.015284797176718712
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,24,0.01396567445155491,0.015165539582570393
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,25,0.013788429818985535,0.015050811941425006
c16x32_z64_spectral_composite_mixed_uniform,minimal_minmax,mixed_uniform,738129596,26,0.013369341011976931,0.014974005209902922
